State,Town,Lat,Lon
Shan (South),မိုင်းစံ (မုန်းဆန်း),21.65989,98.36456
Shan (South),မိုင်းကိုင်,21.61149,97.52699
Shan (South),ကျိုင်းတောင်း,20.75728,98.29333
Shan (South),မိုးနဲ,20.5136,97.8712
Shan (South),မိုင်းပန်,20.3188,98.3541
Shan (South),ခိုလမ်,21.09887,98.10086
Shan (South),နမ့်စန်,20.88912,97.72022
Shan (South),နန်းပန်,20.45492935,96.90596008
Shan (South),ညောင်ရွှေ,20.65957,96.93206
Shan (South),ဖယ်ခုံ,19.86348,97.00831
Shan (South),ပင်းတယ,20.94158,96.66279
Shan (South),နောင်တရား,20.29326,96.75691
Shan (South),ပေါင်းလောင်း,19.98626219,96.58254462
Shan (South),ပင်လောင်း,20.12439,96.78219
Shan (South),အေးသာယာ,20.77475,96.99882
Shan (South),ကျောက်တလုံးကြီး,20.371,97.024
Shan (South),ရွှေညောင်,20.76015,96.93614
Shan (South),တောင်ကြီး,20.77477,97.03598
Shan (South),ရွာငံ,21.16282,96.44229
Tanintharyi,ဘုတ်ပြင်း,11.26503968,98.75909422
Tanintharyi,ကရသူရိ,10.93336,98.75998
Tanintharyi,ပြည်ကြီးမဏ္ဍိုင်,11.46842125,99.00143833
Tanintharyi,ထားဝယ်,14.07753,98.19636
Tanintharyi,မေတ္တာ,14.16355,98.52017
Tanintharyi,ကော့သောင်း,9.982609862,98.54995298
Tanintharyi,ခမောက်ကြီး,10.353,98.625
Tanintharyi,ကျွန်းစု,12.47386023,98.45443086
Tanintharyi,လောင်းလုံး,13.97522,98.11963
Tanintharyi,မြိတ်,12.44112,98.60978
Tanintharyi,ပလ,12.849283,98.6618826
Tanintharyi,ပလောက်,13.27222656,98.62248264
Tanintharyi,ပုလော,12.97530595,98.6457919
Tanintharyi,မောတောင်,11.7952,99.6275
Tanintharyi,တနင်္သာရီ,12.08940526,99.01277649
Tanintharyi,သရက်ချောင်း,13.86870462,98.26251547
Tanintharyi,ကလိန်အောင်,14.62379682,98.13849441
Tanintharyi,ရေဖြူ,14.24590986,98.20290726
Yangon,အလုံ,16.782398,96.127863
Yangon,ဗဟန်း,16.815427,96.156112
Yangon,ဗိုလ်တထောင်,16.771967,96.169709
Yangon,ကိုကိုးကျွန်း,14.13443058,93.36821296
Yangon,ဒဂုံ,16.794952,96.1469
Yangon,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),16.912805,96.213226
Yangon,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),16.87774,96.19079
Yangon,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),16.840488,96.272564
Yangon,ဒဂုံမြို့သစ်(တောင်ပိုင်း),16.84016,96.22582
Yangon,ဒလ,16.75855,96.143
Yangon,ဒေါပုံ,16.781917,96.18435
Yangon,လှိုင်,16.847934,96.125227
Yangon,လှိုင်သာယာ,16.85402,96.06893
Yangon,လှည်းကူး,17.09875,96.22745
Yangon,မှော်ဘီ,17.09987,96.0418
Yangon,ထန်းတပင်,17.0174,95.9827
Yangon,အင်းစိန်,16.901771,96.095959
Yangon,ကမာရွတ်,16.827684,96.132439
Yangon,ကော့မှူး,16.54616,96.06195
Yangon,ခရမ်း,16.90544,96.5605
Yangon,ကွမ်းခြံကုန်း,16.4394,96.0119
Yangon,ကျောက်တံတား,16.774263,96.161642
Yangon,ရန်ကုန်,16.77818611,96.16092616
Yangon,ကျောက်တန်း,16.63393,96.32351
Yangon,တံတား,16.64788,96.53949
Yangon,ကြည့်မြင်တိုင်,16.814573,96.121879
Yangon,လမ်းမတော်,16.779913,96.142335
Yangon,လသာ,16.77712,96.150525
Yangon,မရမ်းကုန်း,16.86619,96.142611
Yangon,ထောက်ကြန့်,17.04275565,96.1323128
Yangon,မင်္ဂလာဒုံ,16.94914,96.12795
Yangon,မင်္ဂလာတောင်ညွန့်,16.788908,96.167859
Yangon,မြောက်ဥက္ကလာပ,16.918775,96.163028
Yangon,ပန်းဘဲတန်း,16.776983,96.15601
