SRName,TownName,Latitude,Longitude
စစ်ကိုင်း,လဟယ်,26.32594,95.44113
စစ်ကိုင်း,ထန်ပါခွေ,25.96589,95.24148
စစ်ကိုင်း,လေရှီး,25.44706,94.95663
စစ်ကိုင်း,မိုပိုင်းလွတ်,25.04671,94.78748
စစ်ကိုင်း,ဆွမ္မရာ,25.36455,94.68729
စစ်ကိုင်း,မော်လိုက်,23.63512,94.41201
စစ်ကိုင်း,မင်းကင်း,22.87781,94.4942
စစ်ကိုင်း,မုံရွာ,22.12168,95.13963
စစ်ကိုင်း,မြောင်,21.83164,95.42425
စစ်ကိုင်း,မြင်းမူ,21.92681,95.57157
စစ်ကိုင်း,ဒုံဟီး,26.7757,95.79165
စစ်ကိုင်း,နန်းယွန်း,26.97979,96.16705
စစ်ကိုင်း,ပန်ဆောင်,27.23683,96.16712
စစ်ကိုင်း,ပုလဲ,21.93415,94.87486
စစ်ကိုင်း,ဖောင်းပြင်,24.26768,94.81686
စစ်ကိုင်း,ပင်လည်ဘူး,24.08089,95.37026
စစ်ကိုင်း,စစ်ကိုင်း,21.88008,95.96231
စစ်ကိုင်း,ဆားတောင်,22.1639,95.7574
စစ်ကိုင်း,ဆားလင်းကြီး,21.97363,95.08269
စစ်ကိုင်း,​ကျောက်မြောင်း,22.59329,95.94495
စစ်ကိုင်း,ရွှေဘို,22.56996,95.69849
စစ်ကိုင်း,စိုင်ပြင်,22.5561,95.2366
စစ်ကိုင်း,ဒီပဲယင်း,22.68529,95.32121
စစ်ကိုင်း,ခါမ်းပါတ်,23.77977,94.14575
စစ်ကိုင်း,မြို့သစ်,24.51539,94.51857
စစ်ကိုင်း,တမူး,24.21149,94.31534
စစ်ကိုင်း,တန့်ဆည်,22.94407,95.37361
စစ်ကိုင်း,ထီးချိုင့်,23.75452,96.14833
စစ်ကိုင်း,ဝက်လက်,22.36715,95.78812
စစ်ကိုင်း,ဝန်းသို,23.89924,95.68193
စစ်ကိုင်း,ရေဦး,22.76914,95.43049
စစ်ကိုင်း,ယင်းမာပင်,22.07779,94.90014
ရှမ်း (ရှေ့),ဟိုတောင်း,22.04143,99.55067
ရှမ်း (ရှေ့),ကျိုင်းတုံ,21.29189,99.6036
ရှမ်း (ရှေ့),မိုင်းဖျန်,21.98542,99.59892
ရှမ်း (ရှေ့),မိုင်းကာ,21.84343,99.41942
ရှမ်း (ရှေ့),မိုင်းပေါက်,22.00822,99.3101
ရှမ်း (ရှေ့),မိုင်းဖြတ်,20.87804,99.92333
ရှမ်း (ရှေ့),မိုင်းဆတ်,20.50544,99.24724
ရှမ်း (ရှေ့),မိုင်းခုတ်,20.74048,99.4636
ရှမ်း (ရှေ့),မိုင်းခတ်,21.7499,99.46377
ရှမ်း (ရှေ့),မိုင်းလား,21.6729,100.01867
ရှမ်း (ရှေ့),မိုင်းပျဉ်း,21.3502,99.026
ရှမ်း (ရှေ့),တုံတာ,21.33004,99.28781
ရှမ်း (ရှေ့),မုံးထ,19.7979,98.56708
ရှမ်း (ရှေ့),မိုင်းတုံ,20.30351,98.90008
ရှမ်း (ရှေ့),ပုံပါကျင်,19.8892,98.9382
ရှမ်း (ရှေ့),မိုင်းပေါက်,22.0082,99.3101
ရှမ်း (ရှေ့),မိုင်းယန်း,21.84235,99.68711
ရှမ်း (ရှေ့),မိုင်းယောင်း,21.1807,100.3579
ရှမ်း (ရှေ့),မိုင်းယု,21.32976,100.55082
ရှမ်း (ရှေ့),နမ့်ဖိုင်,21.92906,99.20035
ရှမ်း (ရှေ့),ကျိုင်းလပ်,20.867,100.534
ရှမ်း (ရှေ့),တာချီလိတ်,20.45304,99.88403
ရှမ်း (ရှေ့),တာလေ,20.71262,100.09307
ရှမ်း (မြောက်),အိုက်ချန်,22.76395,99.22358
ရှမ်း (မြောက်),ခွန်းမား,22.9794,99.46016
ရှမ်း (မြောက်),ဟိုပန်,23.42544,98.75029
ရှမ်း (မြောက်),နမ့်တစ်,23.47583,98.86722
ရှမ်း (မြောက်),ပန်လုံ,23.25641,98.78571
ရှမ်း (မြောက်),ဆောင်ဖ,23.0846,99.22365
ရှမ်း (မြောက်),သိန္နီ,23.3072,97.9736
ရှမ်း (မြောက်),သီပေါ,22.61894,97.2981
ရှမ်း (မြောက်),ကလောင်ဖါ,22.71811,98.72545
ရှမ်း (မြောက်),မိုင်းမော,22.96912,98.96356
ရှမ်း (မြောက်),ကုန်းကြမ်း,23.82946,98.53934
ရှမ်း (မြောက်),​မော်ထိုက်,24.09412,98.79679
ရှမ်း (မြောက်),ကွမ်းလုံ,23.41645,98.65053
ရှမ်း (မြောက်),ကွတ်ခိုင်,23.45921,97.94341
ရှမ်း (မြောက်),တာမိုးညဲ,23.57597,98.09862
ရှမ်း (မြောက်),ကျောက်မဲ,22.54172,97.03671
ရှမ်း (မြောက်),မိုင်းလုံ,22.7908,96.62431
ရှမ်း (မြောက်),မိုင်းငေါ့,22.77316,96.98402
ရှမ်း (မြောက်),လားရှိုး,22.95277,97.74747
ရှမ်း (မြောက်),ချင်းရွှေဟော်,23.47557,98.82419
ရှမ်း (မြောက်),လောက်ကိုင်,23.69163,98.76408
ရှမ်း (မြောက်),လင်ဟော်,22.77647,98.83702
ရှမ်း (မြောက်),လုံထန်,22.90568,99.36871
ရှမ်း (မြောက်),မဘိမ်း,23.47292,96.6292
ရှမ်း (မြောက်),မန်မန်ဆိုင်,22.50304,98.76685
ရှမ်း (မြောက်),မန်တွန်း,22.94789,98.612
ရှမ်း (မြောက်),မန်တုံ,23.24648,97.12222
ရှမ်း (မြောက်),မက်မန်း,21.95417,98.87088
ရှမ်း (မြောက်),မိုင်းမော,22.9672,98.9674
ရှမ်း (မြောက်),မိုးမိတ်,23.11422,96.66999
ရှမ်း (မြောက်),မိုင်းရယ်,22.42762,98.039
